parameter,scale,p_base,p_pert,P_brain_peak_base,P_brain_peak_pert,P_brain_peak_sens,on_target_editing_rate_final_base,on_target_editing_rate_final_pert,on_target_editing_rate_final_sens,off_target_burden_final_base,off_target_burden_final_pert,off_target_burden_final_sens,specificity_index_final_base,specificity_index_final_pert,specificity_index_final_sens,AUC_liver_base,AUC_liver_pert,AUC_liver_sens,Cmax_blood_base,Cmax_blood_pert,Cmax_blood_sens
k_lymph,0.8,0.08,0.064,0.5708580782547994,0.5558025043232685,0.1318679239642022,0.999216215357269,0.9989764742993796,0.0011996455532082026,0.13326972813569252,0.12863122314512962,0.1740269547875143,1.4995396619078984,1.5532410403510195,-0.1790595467638234,25.778614395375772,25.535733091318274,0.04710906884527249,0.23483431399697355,0.22208396049739823,0.27147551996467684
k_lymph,1.2,0.08,0.096,0.5708580782547994,0.582661416410838,0.10338242205596211,0.999216215357269,0.9993673113530287,0.0007560725768729777,0.13326972813569252,0.13697412745886434,0.13898127410450165,1.4995396619078984,1.4592059535501647,-0.13448696750846942,25.778614395375772,25.960945486770537,0.03536479668734098,0.23483431399697355,0.24555589656934118,0.2282797260307071
k_blood,0.8,0.03,0.024,0.5708580782547994,0.5598653177785635,0.09628277933669985,0.999216215357269,0.9990296827068268,0.000933394832746597,0.13326972813569252,0.12956112672693043,0.139138927520962,1.4995396619078984,1.542175045777257,-0.14216157448984224,25.778614395375772,25.674817023895653,0.02013245744867093,0.23483431399697355,0.22838434733382473,0.13733015744947608
k_blood,1.2,0.03,0.036,0.5708580782547994,0.5808777017504433,0.08775932125087393,0.999216215357269,0.9993562056669313,0.000700500589915973,0.13326972813569252,0.13667374334599142,0.12771149374721472,1.4995396619078984,1.4623967723421245,-0.12384763974337365,25.778614395375772,25.871602668447608,0.018035933127677317,0.23483431399697355,0.2413013602835238,0.1376938100841942
k_deg_loc,0.8,0.005,0.004,0.5708580782547994,0.5749988633863722,-0.03626807861099034,0.999216215357269,0.9992601819793824,-0.00022000554753631065,0.13326972813569252,0.13426994556775898,-0.03752605509362421,1.4995396619078984,1.4884346273509435,0.037028145500419135,25.778614395375772,26.000934143428452,-0.043120965433378795,0.23483431399697355,0.23615868872610093,-0.028198066683399057
k_deg_loc,1.2,0.005,0.006,0.5708580782547994,0.5667755809031546,-0.03575755084456023,0.999216215357269,0.9991703106048233,-0.00022970380053975175,0.13326972813569252,0.1322825054166668,-0.037038520781723955,1.4995396619078984,1.5106613039359977,0.037083520731785675,25.778614395375772,25.560052510365395,-0.04239209324019823,0.23483431399697355,0.23353590749100087,-0.02764516147306768
k_blood_to_liver,0.8,0.08,0.064,0.5708580782547994,0.6286385540073693,-0.5060844188209941,0.999216215357269,0.9996515955527581,-0.0021786085373593778,0.13326972813569252,0.14721085158228212,-0.5230416404989973,1.4995396619078984,1.3581221558149255,0.47153639775370887,25.778614395375772,23.220632837788322,0.4961441135576135,0.23483431399697355,0.2540760126531083,-0.4096866920475416
k_blood_to_liver,1.2,0.08,0.096,0.5708580782547994,0.522689507328823,-0.42189620118221915,0.999216215357269,0.9984610766123782,-0.0037786553765085788,0.13326972813569252,0.12149479448130004,-0.44177075391057574,1.4995396619078984,1.6436277469721772,0.4804410604283456,25.778614395375772,27.814738231014164,0.3949249956591221,0.23483431399697355,0.218308458984636,-0.3518620156284003
k_blood_to_brain,0.8,0.01,0.008,0.5708580782547994,0.4630709115823679,0.9440802432187119,0.999216215357269,0.9961414186656004,0.015386042802404213,0.13326972813569252,0.10519461382944788,1.053319260832405,1.4995396619078984,1.8939019449774328,-1.3149444895901525,25.778614395375772,26.290183588696372,-0.09922356288714389,0.23483431399697355,0.23721974221189046,-0.05078960085338412
k_blood_to_brain,1.2,0.01,0.012,0.5708580782547994,0.6757057286719638,0.9183337716591461,0.999216215357269,0.9998413110739448,0.003127930207038782,0.13326972813569252,0.16051880918088762,1.0223282296130538,1.4995396619078984,1.2457621834784287,-0.8461846154391903,25.778614395375772,25.285729450138195,-0.095599580659772,0.23483431399697355,0.23251111681782316,-0.04946460207643097
k_clear_blood,0.8,0.01,0.008,0.5708580782547994,0.5788386394735581,-0.06989969593805585,0.999216215357269,0.9992971446589185,-0.00040496391274312093,0.13326972813569252,0.13515672293982867,-0.07079607764393613,1.4995396619078984,1.4787235483688426,0.06940834600056882,25.778614395375772,26.29018358848583,-0.09922356284630753,0.23483431399697355,0.2372197422118905,-0.05078960085338471
k_clear_blood,1.2,0.01,0.012,0.5708580782547994,0.5630881073588605,-0.06805518912592849,0.999216215357269,0.9991284576031925,-0.0004391329560497942,0.13326972813569252,0.13142802924994207,-0.06909667002078926,1.4995396619078984,1.5204191424062041,0.06961963404069033,25.778614395375772,25.28572944909266,-0.09559958086256319,0.23483431399697355,0.23251111681782316,-0.04946460207643097
k_endo_to_ISF,0.8,0.01,0.008,0.5708580782547994,0.4749080457758069,0.8404018103091965,0.999216215357269,0.9966385669839096,0.01289835139653809,0.13326972813569252,0.1076596539401167,0.960836138627827,1.4995396619078984,1.851461583810062,-1.1734331903379114,25.778614395375772,25.778614396046997,-1.3019025056622534e-10,0.23483431399697355,0.23483431399697355,-0.0
k_endo_to_ISF,1.2,0.01,0.012,0.5708580782547994,0.6595139836264451,0.7765144153051173,0.999216215357269,0.9998059946703098,0.0029512096780272565,0.13326972813569252,0.1571384430594997,0.8955039999595611,1.4995396619078984,1.2725161013469704,-0.7569775122589317,25.778614395375772,25.778614396946764,3.0470843023257983e-10,0.23483431399697355,0.23483431399697355,0.0
k_endo_loss,0.8,0.01,0.008,0.5708580782547994,0.593635058971367,-0.19949775245539453,0.999216215357269,0.9994116321552928,-0.00097785041425667,0.13326972813569252,0.13822662415873704,-0.18597231690896512,1.4995396619078984,1.446047949497978,0.17836044543784063,25.778614395375772,25.778614392621787,5.341608827119953e-10,0.23483431399697355,0.23483431399697355,-0.0
k_endo_loss,1.2,0.01,0.012,0.5708580782547994,0.5495949866694108,-0.18623798449514078,0.999216215357269,0.9989743526275695,-0.0012102622334497783,0.13326972813569252,0.12859504594399443,-0.1753842473115283,1.4995396619078984,1.553674708528178,0.18050555112160957,25.778614395375772,25.778614395297208,-1.5238350108353262e-11,0.23483431399697355,0.23483431399697355,0.0
k_ISF_to_cell,0.8,0.03,0.024,0.5708580782547994,0.5087570215712482,0.543927282884422,0.999216215357269,0.9977949511977385,0.007111894991727621,0.13326972813569252,0.11515254228986602,0.6797187215456745,1.4995396619078984,1.732996825522655,-0.778429439197773,25.778614395375772,25.778614396002673,-1.2159326874693372e-10,0.23483431399697355,0.23483431399697355,-0.0
k_ISF_to_cell,1.2,0.03,0.036,0.5708580782547994,0.6203829303601505,0.4337755213761373,0.999216215357269,0.9996718712220457,0.00228006640491605,0.13326972813569252,0.14823281874951574,0.5613836999272677,1.4995396619078984,1.3487861590353285,-0.5026659404285542,25.778614395375772,25.778614395246926,-2.4990921740962644e-11,0.23483431399697355,0.23483431399697355,0.0
k_cell_to_nuc,0.8,0.02,0.016,0.5708580782547994,0.49392456474247565,0.6738409811727749,0.999216215357269,0.9973370516756177,0.009403188482982206,0.13326972813569252,0.11180712371523713,0.8052317927219977,1.4995396619078984,1.7840313184586754,-0.9485966386137853,25.778614395375772,25.77861439597907,-1.1701501071492233e-10,0.23483431399697355,0.23483431399697355,-0.0
k_cell_to_nuc,1.2,0.02,0.024,0.5708580782547994,0.6363048604669232,0.5732316376445499,0.999216215357269,0.999736628655398,0.002604107550150922,0.13326972813569252,0.15196971140688825,0.7015840556137323,1.4995396619078984,1.3157051091284335,-0.6129699582122691,25.778614395375772,25.77861439693778,3.029657429112438e-10,0.23483431399697355,0.23483431399697355,0.0
k_tx,0.8,0.4,0.32000000000000006,0.5708580782547994,0.45668646263114154,0.9999999997608691,0.999216215357269,0.9958009444856702,0.017089749040840162,0.13326972813569252,0.10368004814157243,1.1101425810665904,1.4995396619078984,1.9209114238141727,-1.4050037241767703,25.778614395375772,25.77861439614424,-1.4905110255210482e-10,0.23483431399697355,0.23483431399697355,-0.0
k_tx,1.2,0.4,0.48,0.5708580782547994,0.6850296936280809,0.9999999975678862,0.999216215357269,0.9998607993540787,0.0032254480406885533,0.13326972813569252,0.16271587469244223,1.1047575082755574,1.4995396619078984,1.2289652761204017,-0.9021914946992429,25.778614395375772,25.778614396922016,2.9990828793110635e-10,0.23483431399697355,0.23483431399697355,0.0
k_tl,0.8,0.9,0.7200000000000001,0.5708580782547994,0.4566864626311426,0.9999999997608596,0.999216215357269,0.9958009444856706,0.017089749040838494,0.13326972813569252,0.10368004814157292,1.1101425810665722,1.4995396619078984,1.9209114238141642,-1.405003724176742,25.778614395375772,25.778614396144235,-1.4905041347052263e-10,0.23483431399697355,0.23483431399697355,-0.0
k_tl,1.2,0.9,1.08,0.5708580782547994,0.6850296936280799,0.9999999975678767,0.999216215357269,0.9998607993540789,0.0032254480406896627,0.13326972813569252,0.16271587469244203,1.1047575082755494,1.4995396619078984,1.2289652761204033,-0.9021914946992371,25.778614395375772,25.77861439692202,2.9990897701268836e-10,0.23483431399697355,0.23483431399697355,0.0
k_cat_on,0.8,0.5,0.4,0.5708580782547994,0.5708580782882636,-2.9310464948008e-10,0.999216215357269,0.9960619183879889,0.015783855990329086,0.13326972813569252,0.12927270644688954,0.14995985002435405,1.4995396619078984,1.541024313273228,-0.13832462194613668,25.778614395375772,25.778614396141815,-1.4858114891305727e-10,0.23483431399697355,0.23483431399697355,-0.0
k_cat_on,1.2,0.5,0.6,0.5708580782547994,0.5708580780222304,-2.037012113395719e-09,0.999216215357269,0.9998444649149983,0.0031437117816623017,0.13326972813569252,0.13596668011419316,0.10118396789084254,1.4995396619078984,1.4707198323498034,-0.09609558950053683,25.778614395375772,25.778614396924084,3.0030933341193565e-10,0.23483431399697355,0.23483431399697355,0.0
k_cat_off,0.8,0.05,0.04000000000000001,0.5708580782547994,0.5708580782507529,3.544261730099947e-11,0.999216215357269,0.9991459105015199,0.00035180001419395654,0.13326972813569252,0.10689179363347527,0.989644642906444,1.4995396619078984,1.8694529795723218,-1.233422919917218,25.778614395375772,25.778614395383194,-1.439491425176358e-12,0.23483431399697355,0.23483431399697355,-0.0
k_cat_off,1.2,0.05,0.06,0.5708580782547994,0.5708580782588966,3.588603898365025e-11,0.999216215357269,0.9992825547820007,0.0003319573066973574,0.13326972813569252,0.15949758120765212,0.984013903189438,1.4995396619078984,1.2530378795898702,-0.8219248499382754,25.778614395375772,25.778614395366727,-1.7544017082331294e-12,0.23483431399697355,0.23483431399697355,0.0
